,date,open,high,low,close,volume,bar_count,average
317,20180713,0.7408,0.7424,0.7368,0.74235,,,
318,20180716,0.74235,0.74425,0.7409,0.74205,,,
319,20180717,0.74215,0.74385,0.7376,0.73895,,,
320,20180718,0.7389,0.74075,0.73435,0.73975,,,
321,20180719,0.73975,0.7442,0.73225,0.7358,,,
322,20180720,0.73575,0.74315,0.7318,0.74145,,,
323,20180723,0.7421,0.7438,0.73715,0.7381,,,
324,20180724,0.73815,0.74345,0.73595,0.74195,,,
325,20180725,0.74195,0.74645,0.7392,0.7455,,,
326,20180726,0.74545,0.74635,0.7372,0.73765,,,
327,20180727,0.7381,0.74145,0.737,0.7402,,,
328,20180730,0.7404,0.74135,0.7386,0.7406,,,
329,20180731,0.7408,0.7441,0.7404,0.7427,,,
330,20180801,0.7426,0.7429,0.739,0.74045,,,
331,20180802,0.74035,0.74115,0.73555,0.7362,,,
332,20180803,0.73625,0.7412,0.73485,0.73975,,,
333,20180806,0.73975,0.74055,0.7374,0.73865,,,
334,20180807,0.7388,0.74395,0.7382,0.74215,,,
335,20180808,0.7419,0.74395,0.73835,0.7434,,,
336,20180809,0.74335,0.74535,0.73725,0.73725,,,
337,20180810,0.7375,0.738,0.72805,0.73015,,,
338,20180813,0.72745,0.73,0.72565,0.72695,,,
339,20180814,0.72735,0.72835,0.7224,0.72395,,,
340,20180815,0.7239,0.7248,0.72025,0.72395,,,
341,20180816,0.72405,0.72865,0.72155,0.72605,,,
342,20180817,0.72605,0.73195,0.7253,0.73135,,,
343,20180820,0.7316,0.7344,0.7296,0.73395,,,
344,20180821,0.73405,0.7382,0.7333,0.73655,,,
345,20180822,0.7364,0.7371,0.7334,0.7352,,,
346,20180823,0.73495,0.73525,0.72405,0.7247,,,
347,20180824,0.7248,0.73445,0.7238,0.7324,,,
348,20180827,0.73325,0.73565,0.73075,0.735,,,
349,20180828,0.73495,0.73625,0.73215,0.7337,,,
350,20180829,0.73355,0.7349,0.7275,0.73105,,,
351,20180830,0.73115,0.7315,0.72495,0.7265,,,
352,20180831,0.72665,0.7268,0.7176,0.7192,,,
353,20180903,0.7186,0.72235,0.7166,0.72135,,,
354,20180904,0.7213,0.72355,0.71575,0.7177,,,
355,20180905,0.71795,0.72185,0.71445,0.71925,,,
356,20180906,0.7193,0.7211,0.7166,0.71975,,,
357,20180907,0.72,0.7202,0.70985,0.7107,,,
358,20180910,0.7103,0.7132,0.7099,0.71145,,,
359,20180911,0.71135,0.7129,0.7085,0.7122,,,
360,20180912,0.7123,0.71825,0.70935,0.71705,,,
361,20180913,0.71695,0.72295,0.7168,0.7192,,,
362,20180914,0.71935,0.72165,0.71505,0.71545,,,
363,20180917,0.71545,0.71965,0.7142,0.71785,,,
364,20180918,0.7179,0.7224,0.7144,0.72195,,,
365,20180919,0.7219,0.7275,0.72135,0.7263,,,
366,20180920,0.7265,0.7293,0.7254,0.7292,,,
367,20180921,0.7292,0.7304,0.7263,0.72875,,,
368,20180924,0.72695,0.72815,0.7251,0.72525,,,
369,20180925,0.7252,0.7263,0.7236,0.725,,,
370,20180926,0.72515,0.73155,0.7241,0.72575,,,
371,20180927,0.7265,0.72685,0.72055,0.7207,,,
372,20180928,0.72075,0.72415,0.72025,0.72195,,,
373,20181001,0.7224,0.7232,0.7207,0.72235,,,
374,20181002,0.72215,0.7238,0.71625,0.7189,,,
375,20181003,0.71885,0.7197,0.71015,0.71025,,,
376,20181004,0.7105,0.71125,0.70655,0.70775,,,
377,20181005,0.70785,0.7087,0.70425,0.705,,,
378,20181008,0.70585,0.70815,0.70415,0.7078,,,
379,20181009,0.7078,0.7106,0.7054,0.71025,,,
380,20181010,0.7102,0.71305,0.70435,0.70555,,,
381,20181011,0.7052,0.71295,0.7052,0.71235,,,
382,20181012,0.7121,0.714,0.7102,0.7114,,,
383,20181015,0.71115,0.7149,0.7099,0.713,,,
384,20181016,0.7132,0.7152,0.7112,0.7141,,,
385,20181017,0.7143,0.716,0.71065,0.7109,,,
386,20181018,0.71105,0.7151,0.70975,0.7099,,,
387,20181019,0.7095,0.71505,0.7089,0.7118,,,
388,20181022,0.7122,0.71335,0.7076,0.7082,,,
389,20181023,0.70815,0.7091,0.70555,0.70855,,,
390,20181024,0.70855,0.71065,0.7059,0.706,,,
391,20181025,0.70585,0.70995,0.70565,0.70795,,,
392,20181026,0.70805,0.71045,0.7021,0.7089,,,
393,20181029,0.7093,0.7109,0.7051,0.7056,,,
394,20181030,0.70565,0.7122,0.70545,0.7105,,,
395,20181031,0.71035,0.7107,0.7068,0.7073,,,
396,20181101,0.70755,0.72125,0.7073,0.7206,,,
397,20181102,0.7207,0.72585,0.71825,0.71915,,,
398,20181105,0.7191,0.72185,0.71825,0.72105,,,
399,20181106,0.72115,0.72465,0.7205,0.72455,,,
400,20181107,0.724,0.73,0.7213,0.72765,,,
401,20181108,0.7276,0.73025,0.7247,0.7257,,,
402,20181109,0.7259,0.7271,0.72195,0.72265,,,
403,20181112,0.722,0.72375,0.7173,0.71735,,,
404,20181113,0.71755,0.7224,0.71645,0.7218,,,
405,20181114,0.7218,0.7254,0.7188,0.72315,,,
406,20181115,0.72335,0.72985,0.7229,0.7277,,,
407,20181116,0.72755,0.7338,0.72505,0.7333,,,
408,20181119,0.73125,0.7326,0.72775,0.72935,,,
409,20181120,0.72945,0.73005,0.72115,0.7214,,,
410,20181121,0.72135,0.72775,0.7203,0.7263,,,
411,20181122,0.7262,0.7268,0.72345,0.72545,,,
412,20181123,0.72535,0.7256,0.72185,0.72315,,,
413,20181126,0.7231,0.72765,0.7213,0.72205,,,
414,20181127,0.72165,0.72695,0.71995,0.72245,,,
415,20181128,0.72265,0.7328,0.72215,0.73055,,,
416,20181129,0.73075,0.73445,0.7295,0.73195,,,
417,20181130,0.73175,0.7326,0.72845,0.73075,,,
418,20181203,0.7371,0.73935,0.73465,0.7358,,,
419,20181204,0.73565,0.73935,0.7326,0.7338,,,
420,20181205,0.7341,0.7356,0.726,0.7269,,,
421,20181206,0.72735,0.7274,0.71915,0.72365,,,
422,20181207,0.72355,0.7242,0.71975,0.72065,,,
423,20181210,0.71955,0.7227,0.7178,0.71895,,,
424,20181211,0.7191,0.7225,0.7185,0.7205,,,
425,20181212,0.71995,0.7238,0.7199,0.7219,,,
426,20181213,0.7217,0.7247,0.72125,0.7227,,,
427,20181214,0.72265,0.72285,0.71515,0.7174,,,
428,20181217,0.71755,0.71875,0.7169,0.71805,,,
429,20181218,0.71805,0.72035,0.71655,0.71795,,,
430,20181219,0.7181,0.72005,0.70875,0.71085,,,
431,20181220,0.71105,0.7149,0.7086,0.7109,,,
432,20181221,0.7109,0.71235,0.7032,0.7036,,,
433,20181224,0.70385,0.7069,0.70345,0.70475,,,
434,20181226,0.70465,0.7072,0.70325,0.7067,,,
435,20181227,0.7068,0.7078,0.7017,0.703,,,
436,20181228,0.7031,0.70695,0.7028,0.7043,,,
437,20181231,0.7044,0.70715,0.7033,0.70445,,,
438,20190102,0.7048,0.70485,0.6982,0.6985,,,
439,20190103,0.6982,0.702,0.6614,0.70055,,,
440,20190104,0.7003,0.7125,0.69935,0.71185,,,
441,20190107,0.71135,0.715,0.71095,0.71475,,,
442,20190108,0.7148,0.71495,0.71165,0.71405,,,
443,20190109,0.71375,0.7194,0.71345,0.7171,,,
444,20190110,0.71735,0.71975,0.71465,0.71855,,,
445,20190111,0.71855,0.72355,0.71825,0.7215,,,
446,20190114,0.7211,0.7218,0.71755,0.7197,,,
447,20190115,0.7198,0.7226,0.718,0.7202,,,
448,20190116,0.7201,0.72125,0.7162,0.71685,,,
449,20190117,0.717,0.72215,0.7147,0.7193,,,
450,20190118,0.71945,0.7215,0.71625,0.7164,,,
451,20190121,0.71665,0.71825,0.714,0.7159,,,
452,20190122,0.71555,0.71605,0.7116,0.7123,,,
453,20190123,0.7127,0.7144,0.7118,0.7141,,,
454,20190124,0.71405,0.7167,0.7081,0.7095,,,
455,20190125,0.70925,0.71855,0.7076,0.7181,,,
456,20190128,0.71755,0.7204,0.7161,0.7166,,,
457,20190129,0.7167,0.71765,0.7138,0.71555,,,
458,20190130,0.71555,0.7273,0.715,0.72475,,,
459,20190131,0.72485,0.72955,0.72425,0.7275,,,
460,20190201,0.72715,0.72845,0.72365,0.7248,,,
461,20190204,0.7247,0.72545,0.72115,0.72265,,,
462,20190205,0.7225,0.72645,0.71935,0.7235,,,
463,20190206,0.72335,0.72455,0.71035,0.7105,,,
464,20190207,0.71025,0.71175,0.70895,0.71015,,,
465,20190208,0.7103,0.7104,0.70605,0.70885,,,
466,20190211,0.70905,0.71085,0.7057,0.70615,,,
467,20190212,0.70635,0.71025,0.7054,0.70955,,,
468,20190213,0.7096,0.71365,0.7086,0.70895,,,
469,20190214,0.70895,0.71315,0.70715,0.7105,,,
470,20190215,0.7106,0.71485,0.70795,0.714,,,
471,20190218,0.7138,0.7161,0.71245,0.71305,,,
472,20190219,0.71325,0.7174,0.71035,0.7165,,,
473,20190220,0.71635,0.7183,0.71415,0.7164,,,
474,20190221,0.7167,0.7207,0.707,0.70915,,,
475,20190222,0.70945,0.71505,0.70825,0.7127,,,
476,20190225,0.71375,0.71845,0.7131,0.7168,,,
477,20190226,0.717,0.71945,0.7142,0.7188,,,
478,20190227,0.71855,0.7199,0.71275,0.71405,,,
479,20190228,0.71375,0.7167,0.709,0.7095,,,
480,20190301,0.70975,0.7122,0.70695,0.7079,,,
481,20190304,0.7105,0.71075,0.70755,0.7092,,,
482,20190305,0.70915,0.7097,0.7059,0.7084,,,
483,20190306,0.7082,0.7092,0.70215,0.7032,,,
